clinical_question,bottom_line,link_name,,
Among critically ill patients in septic shock does low-dose hydrocortisone therapy improve survival?,Prior studies such as the smaller Annane Trial (2002) had suggested a survival benefit associated with the administration of hydrocortisone and fludrocortisone in patients with septic shock and relative adrenal insufficiency (cortisol rise <9 mcg/dL after ACTH stimulation test). As a result corticosteroids remained standard of care for decades among such patients. Subsequent studies failed to duplicate the benefits seen in the Annane Trial and even suggested infection-related harm associated with routine corticosteroid use. Thus the role of corticosteroids in septic shock remained unclear.,/wiki/CORTICUS,,
In patients with stable CAD how does optimal medical therapy plus PCI compare to optimal medical therapy alone in improving survival?,The Clinical Outcomes Utilizing Revascularization and Aggressive Drug Evaluation (COURAGE) trial randomly assigned ~2300 patients with stable CAD to either optimal medical therapy (OMT) alone or OMT plus PCI.  All patients received anti-ischemic therapy with ß-blockers calcium channel blockers and nitrates; antiplatelet therapy with aspirin and/or clopidogrel; and lipid-lowering statin therapy.  The majority of patients in the PCI arm received bare metal stents because drug-eluting stents were not yet approved for use until the final 6 months of the study period.  After a median follow-up of 4.6 years COURAGE demonstrated no significant differences between the two treatment strategies for the primary outcome of death from any cause and non-fatal MI.  There was also no significant difference in the rates of ACS hospitalizations between groups. Followup of the cohorts demonstrated that significantly more patients in the PCI arm were free of angina and had higher overall quality of life by 6 months but this benefit disappeared by 36 months likely reflecting the progression of underlying CAD. Fifteen-year follow-up data published in 2015 found no difference in mortality between the groups.[1],/wiki/COURAGE,,
Among older women residing in nursing homes does administration of cranberry capsules vs. placebo decrease bacteriuria plus pyuria?,Women aged ≥65 are at high risk for bacteriuria plus pyuria. The risk for these women is increased while living in a nursing home. Cranberry products have been used to decrease risk of urinary tract infections (UTIs) but there is little clinical evidence to support this strategy. While UTI is a clinical diagnosis with variability based upon diagnostic approach bacteriuria and pyuria are objective findings thought to be on the causal pathway of UTI. Should cranberry capsules reduce incident pyuria and bacteriuria among high risk women this would potentially support its use in prevention of UTI. ,/wiki/Cranberry_for_prevention_of_pyuria_and_bacteriuria,,
Does tranexamic acid when given within 8 hours to patients with or at risk of significant bleeding reduce death within 4 weeks of injury?,Hemorrhage is a leading cause of death among patients with major trauma. Trauma leads to hemorrhage both from primary injury to organs and blood vessels but also to transient hyperfibrinolysis that is incompletely understood. Tranexamic acid a synthetic derivative of the amino acid lysine appears to interfere with this hyperfibrinolysis prompting investigators to study whether the agent may reduce the morbidity and mortality of traumatic hemorrhage. It has previously been used in controlling bleeding complications in those with hemophilia those undergoing cardiopulmonary bypass and those with menorrhagia. ,/wiki/CRASH-2,,
In patients with T2DM and diabetic nephropathy characterized by albuminuria (ACR >300-5000 mg/g) and reduced GFR (30-90 mL/min/1.73m2 BSA) does canagliflozin 100mg/d reduce the risk of end-stage kidney disease doubling of serum creatinine from baseline and death from renal or cardiovascular disease compared to placebo?,Between 22 to 25 patients would need to be treated for approximately 2.5 years in order to prevent one occurrence of the primary composite outcome.,/wiki/CREDENCE,,
In patients with carotid artery stenosis how does carotid artery stenting compare with carotid endarterectomy in terms of stroke MI and death?,The Carotid Revascularization Endarterectomy vs. Stenting Trial (CREST) compared stenting to endarterectomy in the management of symptomatic and asymptomatic carotid artery stenosis. Prior studies demonstrated stenting as a valid alternative to CEA but yielded conflicting results and a large-scale comparison study had not yet been done. CREST was the largest such comparative study powered to more definitively answer the question of whether stenting or CEA should be the preferred revascularization strategy for patients with carotid stenosis.,/wiki/CREST,,
Among ICU patients with hypovolemic shock does fluid resuscitation with colloids reduce mortality at 28 days when compared to crystalloids? ,'Hypovolemic shock results in tissue hypoperfusion that may be life-threatening. Fluid resuscitation is the mainstay of therapy with crystalloids and colloids among the most commonly used fluid replacement types. Colloids like albumin dextrans and hydroxylethyl starches may selectively fill the intravascular space compared to crystalloids like normal saline and lactated Ringer''s solution which are more widely distributed in both intra- and extravascular fluid compartments. Evidence of a clinical benefit of colloids over crystalloids was lacking however. The 2004 SAFE trial found no benefit for albumin over normal saline for volume resuscitation in a diverse group of ICU patients. Whether colloids would benefit a more specific group of ICU patients with hypovolemic shock was unknown.',/wiki/CRISTAL,,
Among patients with T1DM nephropathy does addition of captopril reduce the creatinine doubling rate when compared to placebo?,Untreated diabetic nephropathy progresses to ESRD in most patients about 10 years after development of proteinuria. Furthermore those with proteinuria have nine times the risk of all-cause mortality than the general population.[1] Early aggressive treatment of concurrent hypertension in this condition was shown to decrease rate of decline of kidney function by Parving et al. in 1983.[2] No large study had been performed with ACE-inhibitors in this disease.,/wiki/CSG_Captopril_Trial,,
In patients with acute myocardial infarction (MI) complicated by cardiogenic shock found to have multivessel CAD on angiography is multivessel percutaneous coronary intervention (PCI) superior to culprit-only PCI?,"There has been substantial investigation into whether patients presenting with acute MI found to have multivessel obstructive coronary artery disease on angiography should undergo PCI of the culprit lesion only or complete revascularization. The previous DANAMI-3-PRIMULTI PRAMI and CvLPRIT trials have suggested that there may be benefit to complete revascularization with a meta-analysis of these trials demonstrating lower rates of composite major adverse cardiac events with complete revascularization. On the strength of these data the 2015 ACC/AHA/SCAI guidelines on primary PCI for ST elevation MI now include PCI of non-culprit lesions in ""selected patients with STEMI and multivessel disease who are hemodynamically stable either at the time of primary PCI or as a planned staged procedure"" as a class IIb recommendation. Whether these findings extend to patients with severe enough MI to cause hemodynamic instability and cardiogenic shock is unclear and is of particular interest since patients with cardiogenic shock complicating MI are far more likely to have multivessel rather than single-vessel CAD.[1] In these cases it remains unknown whether the benefit of improved perfusion and myocardial function afforded by more complete revascularization is offset by the risks inherent to a longer procedure time increased contrast load and possible induction of further ischemia from complex intervention.",/wiki/CULPRIT-SHOCK,,
In adults admitted with community-acquired pneumonia what risk factors are associated with mortality and determine whether patients should be treated as an outpatient or inpatient?,Assessing the risk of CAP and determining whether patients should be treated as out- or inpatients was elusive until several studies demonstrated a method of classifying patients into severe disease. Yet prior to CURB-65 no study had studied the classification of patients into low-risk cohorts; ie those with mild disease that were suitable for outpatient management. Using a derivation cohort and validating it against a smaller cohort CURB-65 identified a 6-point system based on the presence of confusion urea >7 mmol/L (>20 mg/dl) respiratory rate ≥30/min low blood pressure (systolic <90 mmHg or diastolic ≤60 mmHg) and age ≥65 years. Scores of 0 to 1 were associated with low (<2%) 30-day mortality a score of 2 was associated with intermediate (9.2%) mortality and scores of ≥3 were associated with high (22%) mortality.,/wiki/CURB-65,,
In patients with UA/NSTEMI does the addition of clopidogrel reduce CV mortality MI or stroke?,Early trials such as the VA Cooperative Study (1983) and ISIS-2 (1988) demonstrated that aspirin which inhibits platelets through irreversible cyclooxygenase blockade decreases mortality in UA/NSTEMI. Clopidogrel a newer antiplatelet agent that irreversibly binds to the P2Y12 ADP receptors has been suggested to have better outcomes. CURE was designed to evaluate if clopidogrel would further improve outcomes from ACS when added to ASA.,/wiki/CURE,,
Among patients undergoing percutaneous coronary intervention (PCI) for ST-elevation myocardial infarction (STEMI) and found to have multivessel disease on angiography is culprit lesion-only revascularization superior to complete revascularization with regard to a primary composite outcome of death nonfatal MI heart failure or repeat revascularization?,PCI is standard of care for STEMI and has an established mortality benefit in this disease. However up to 30% of patients presenting with STEMI are found to have multivessel CAD with significant stenosis seen in one or more non-infarct-related arteries (N-IRA). It is unclear whether these lesions are simply incidental in which the risks of intervening upon them after culprit vessel revascularization may outweigh the benefits or whether these N-IRA lesions contribute to a pro-thrombotic milieu in which intervention may reduce the risk of recurrent events. Older observational and registry studies suggest that multivessel revascularization either at the time of index PCI or within a short interval lead to either similar or worse outcomes. [1][2] However these retrospective analyses are limited by confounding as sicker patients may be more likely to undergo more aggressive intervention at the time of PCI. In addition PCI technology has improved significantly since the time of these analyses and thus the risk profile of more complex intervention may be lower than previously suggested.,/wiki/CvLPRIT,,
Among patients with newly-diagnosed ANCA-associated vasculitis with renal involvement is pulse cyclophosphamide superior to daily oral cyclophosphamide for the induction of remission?,ANCA-associated vasculitis was almost uniformly fatal until the introduction cyclophosphamide and glucocorticoid therapy was first demonstrated by Fauci and colleagues in the 1970s.[1] The optimal dosing of these medications was unclear. While several small studies suggested that pulse cyclophosphamide was likely equivalent to daily oral cyclophosphamide for the induction of remission in patients with ANCA-associated vasculitis no large trial had been performed.,/wiki/CYCLOPS,,
Among patients with tobacco abuse is cytisine therapy noninferior to nicotine replacement therapy for abstinence at 1 month? ,Common therapies for smoking cessation include nicotine replacement therapy (NRT) and the partial nicotinic ACh agonist varenicline (brand name Champix/Chantix). Cytisine is a generic plant-derived alkaloid that has a similar target to varenicline that is an over-the-counter smoking cessation aide used in Eastern Europe.[1] Its low cost makes it an attractive option for smoking cessation. No large RCT had been performed to compare its efficacy to NRT. ,/wiki/Cytisine_for_Smoking_Cessation,,
In adult patients with JAK2-positive polycythemia vera being treated with phlebotomy and/or hydroxyurea does intensive hematocrit lowering (target <45%) versus a less-intensive strategy (target 45-50%) reduce mortality from cardiovascular or major thrombotic events?,Polycythemia vera (PV) is a myeloproliferative disorder (MPN) characterized by overproduction of erythrocytes — and to a lesser extent granulocytes and platelets — and is driven by a mutation in the JAK2 tyrosine kinase in nearly all cases. PV is associated with arterial and venous thrombotic events related to increased blood viscosity. Lowering the hematocrit has long been shown to have beneficial effect but quantifying the benefit and establishing a therapeutic target has largely been based on observational data.[1]  In fact results from prior PV trials show mixed results of the influence of targeting a lower hematocrit on reducing thrombotic events.[2][3],/wiki/CYTO-PV,,
Among medical ICU patients on mechanical ventilation requiring continuous sedation do daily sedation holidays reduce days intubated in the ICU or in the hospital when compared to physician-guided sedation holidays?,'Continuous sedative infusions reduce anxiety decrease oxygen consumption and reduce nursing requirements among mechanically ventilated ICU patients. However there had been concerns that continuous sedation led to extended courses of mechanical intubation given the inability to assess patients'' overall mental capacity (including detection of new neurologic events) and potential for accumulation of sedatives.',/wiki/Daily_ICU_Sedation_Holidays,,
Among patients undergoing percutaneous coronary intervention (PCI) for ST-elevation myocardial infarction (STEMI) found to have multivessel disease on angiography is culprit lesion-only revascularization superior to fractional flow reserve (FFR) guided complete revascularization with regard to a primary composite outcome of death nonfatal MI or ischemia-driven revascularization?,PCI is standard of care for STEMI and treatment of the infarct-related artery (IRA) has an established mortality benefit in this disease. However up to 30% of patients presenting with STEMI are found to have multivessel CAD with significant stenosis seen in one or more non-infarct-related arteries (N-IRA). It is unclear whether these lesions are simply incidental in which the risks of intervening upon them after culprit vessel revascularization may outweigh the benefits or whether these N-IRA lesions contribute to a pro-thrombotic milieu for which intervention may reduce the risk of recurrent events. Older observational and registry studies suggested that multivessel revascularization either at the time of index PCI or within a short interval lead to either similar or worse outcomes. [1][2] However these retrospective analyses are limited by confounding as sicker patients may be more likely to undergo more aggressive intervention at the time of PCI. In addition PCI technology has improved significantly since the time of these analyses and thus the risk profile of more complex intervention may be lower than previously suggested.,/wiki/DANAMI-3_PRIMULTI,,
In patients with non-ischemic cardiomyopathy with LVEF ≤35% with symptomatic heart failure do implantable cardioverter-defibrillators (ICDs) reduce overall mortality versus standard care?,On the strength of large RCTs including SCD-HeFT and MADIT-II demonstrating a clear mortality benefit ICD implantation carries a class I recommendation for patients with symptomatic cardiomyopathy of any cause with LVEF ≤35% for the purposes of aborting sudden cardiac death.[1] The benefit of ICD implantation is generally considered to be similar in patients with non-ischemic vs. ischemic cardiomyopathy even though the majority of patients in SCD-HeFT and all of the patients in MADIT-II had cardiomyopathy with ischemic origin. Furthermore it is not clear that ICD implantation carries the same benefit in the heart failure population in the era of more frequent use of optimal medical therapy for heart failure and cardiac resynchronization therapy (CRT) in patients with severe cardiomyopathy with significant conduction system disease.,/wiki/DANISH,,
In patients with or without type 2 diabetes and chronic kidney disease characterized by eGFR reduction and microalbuminuria does dapagliflozin affect the progression of chronic kidney disease and cardiovascular death?,CKD is a risk factor for death among adults regardless of diabetes status.[1] Few options exist to prevent progression of CKD and reduce the risk of CKD-associated death. For example ACE-inhibitors and ARBs may prevent progression of progression to albuminuria but do not clearly alter changes in serum creatinine.[2] There is an urgent need to identify potential mechanisms to prevent progression of CKD. ,/wiki/DAPA-CKD,,
In individuals with heart failure with reduced ejection fraction (NYHA II-IV LVEF ≤40%) with or without diabetes does the addition of the SGLT-2 inhibitor dapagliflozin reduce rates of cardiovascular death or worsening heart failure?,In 2008 the US Food and Drug Administration began requiring every new drug for diabetes to be tested in a cardiovascular outcomes trial. Because of this the development of three new sodium-glucose cotransporter 2 (SGLT-2) inhibitors for diabetic patients was accompanied by three cardiovascular outcomes trials (CANVAS[1] EMPA-REG[2] and DECLARE-TIMI 58[3]). EMPA-REG and CANVAS showed reductions in composite primary outcomes of CV mortality nonfatal MI or nonfatal stroke as well as reductions in HF hospitalizations among patients with diabetes. Though the mechanisms of cardiovascular benefit remains unclear it is likely to be driven by a reduction in HF death given that rates of MI were similar between treatment arms. In the more recent DECLARE-TIMI 58 study dapagliflozin did not show a statistically significant reduction in the primary outcome of major adverse CV events but did show a reduction in the composite of CV death or hospitalization for HF. Prior studies were not powered to examine this class of medications in the setting of HF with reduced ejection fraction (HFrEF).,/wiki/DAPA-HF,,
Among patients who have completed one year of dual antiplatelet therapy (DAPT) after drug-eluting stent PCI does continued DAPT reduce stent thrombosis and death MI or stroke without increasing bleeding?,Drug-eluting stents are intended to have lower rates of late restenosis than bare-metal stents through inhibition of neointimal proliferation.[1] However drug-eluting stents are at higher risk for in-stent thrombosis because of delayed endothelialization incomplete healing hypersensitivity and underlying atherosclerotic disease.[2][3][4] This risk is greatly reduced with DAPT typically with aspirin and a thienopyridine (eg clopidogrel). The 2011 ACC/AHA/SCAI guidelines recommend 12 months of therapy[5] although the optimal duration is not known.,/wiki/DAPT,,
In patients with chronic HTN does a diet rich in fruits vegetables and low-fat dairy and low in saturated fats reduce blood pressure? ,Several trials have evaluated non-pharmacologic approaches to lowering BP including dietary and behavioral modifications.  For example TOMHS trial (1993)[1] evaluated a program of weight reduction sodium restriction and exercise.  The DASH trial (1997) evaluated a combination diet which is known today as the DASH diet and the DASH-sodium study (2001)[2] evaluated sodium restriction in addition to the DASH diet.  Most recently the PREMIER trial (2003)[3] also assessed the DASH diet with or without dietary/behavioral modification such as  weight loss physical activity and limitations in sodium and alcohol intake.,/wiki/DASH,,
In patients with an indication for an implantable defibrillator does obligate dual-chamber pacing improve mortality or hospitalization for heart failure compared to ventricular backup pacing?,"By the early 2000s on the strength of RCTs such as MADIT-II SCD-HeFT and AVID the indications for implantable defibrillators (ICDs) had expanded to include patients both with a history of significant ventricular arrhythmias as well as patients at high risk for developing them due to severe cardiomyopathy. In most of these studies the effectiveness of ICD therapy in reducing mortality was established using devices with a single lead in the right ventricle. Since these single-chamber ventricular devices cannot sense atrial activity pacing with these devices can result in simultaneous atrial and ventricular contraction leading to bothersome symptoms associated with backflow of blood from the atria (the pacemaker syndrome). As a result these devices were usually set to a ""backup only"" mode whereby pacing would only activate at very low heart rates. Furthermore out of fear of causing pacemaker syndrome by eliciting bradycardia patients with CHF often failed to receive optimal doses of beta-blocker and/or antiarrhythmic therapy. As a result there was a belief that routine placement of dual-chamber ICDs with the capability to provide synchronous atrial and ventricular pacing at a normal heart rate may allow these patients to tolerate more optimal medical therapy for HF with no risk of pacemaker syndrome.",/wiki/DAVID,,
Among patients with acute stroke between 6-24 hours of symptom onset does thrombectomy improve 90-day outcomes compared to standard care alone?,Several studies including MR CLEAN demonstrated the superiority of endovascular thrombectomy versus standard care alone among patients with acute stroke when performed within 6 hours of symptom onset. The benefits of the intervention declined as the time since onset increased.[1] However a subset of acute stroke patients have brain tissue that is ischemic but not yet infarcted; these patients have a clinical deficit that is disproportionately severe when compared to the amount of infarcted tissue on imaging. Among these patients there is currently limited evidence as to whether the ischemic tissue may be salvaged with reperfusion via thrombectomy. Therefore the purpose of this trial was to recruit patients with a mismatch between their clinical deficit and the volume of infarct on imaging studies.,/wiki/DAWN,,
In patients with T1DM how does strict glycemic control with intensive therapy compare with conventional therapy in preventing microvascular complications?,The Diabetes Control and Complications Trial (DCCT) demonstrated that strict glycemic control targeting lower HbA1c goals among patients with T1DM can both delay the onset of retinopathy nephropathy and neuropathy and slow the progression of existing microvascular complications. This came at the expense of a threefold higher risk of hypoglycemia underlying the fact that HbA1c goals should be tailored to the individual.,/wiki/DCCT,,
In patients with nonischemic dilated cardiomyopathy and NYHA class II-IV symptoms what is the effect of an implantable cardioverter-defibrillator (ICD) on the risk of sudden death?,Sudden cardiac death is the leading cause of death among patients with symptomatic HF. Several trials including MADIT-I MADIT-II MUSTT and SCD-HeFT demonstrated a mortality benefit of prophylactic ICD placement in various patient groups including both ischemic and nonischemic cardiomyopathy.,/wiki/DEFINITE,,
In recently hospitalized elderly patients does ramelteon reduce the risk of delirium compared to placebo?,Delirium and other acute confusional states are common among hospitalized patients and older individuals are disproportionately affected. Because treatment is challenging and often ineffective the mainstay of management has been prevention. A 2007 Cochrane review[1] concluded that sparse evidence existed supporting any intervention to prevent delirium citing only early geriatric consultation as an evidence-based intervention in selected patients. There remains a sizable gap in the evidence for strategies that can prevent delirium.,/wiki/DELIRIA-J,,
Among patients with suspected myocardial infarction without hypoxemia did routine use of supplemental oxygen reduce all-cause mortality at 1 year when compared to ambient air?,The role of supplemental oxygen among adults with suspected acute MI without hypoxemia is uncertain and recent practice guidelines have highlighted a lack of evidence in its routine administration in MI.[1][2] Further a 2015 meta-analysis of oxygen use showed no significant difference with end points when comparing those randomized to high-concentration oxygen versus those randomized to titrated oxygen or room air in the setting of AMI [3] The 2017 AVOID trial of oxygen and acute myocardial infarction in normoxia suggested that patients with MI assigned to oxygen may have a larger infarct on a subset of patients who underwent cardiac MRI. However the role of oxygen among undifferentiated patients with findings concerning for MI was unclear. ,/wiki/DETO2X-AMI,,
Among patients with HFrEF does digoxin impact mortality or hospitalization rate compared to placebo?,Digoxin had been a mainstay of therapy for patients with HF and according to some epidemiologic studies was the most commonly prescribed agent for HF until fairly late in the 20th century. There was of course strong data demonstrating the mortality benefit of ACE inhibitors beta-blockers and other agents in HFrEF but little data supported a survival benefit to digoxin. The 1997 DIG trial sought to investigate whether digoxin improved survival or reduced hospitalizations among individuals with chronic compensated HFrEF. Digoxin reduced hospitalizations by 28% but had no statistically significant effect on all-cause mortality. However a subgroup analysis of those with severe HFrEF had a trend towards a survival benefit.,/wiki/DIG,,
In patients with LV systolic dysfunction (LVEF ≤35%) and impaired autonomic function in the setting of acute MI does early prophylactic ICD placement decrease mortality compared to medical therapy alone?,Two large RCTs (MADIT-II and SCD-HeFT) have established the use of ICDs as primary prophylaxis for patients with LVEF ≤35%. However these trials were not designed to assess the role of ICD therapy in the immediate post-MI period when the risk of ventricular arrhythmia may be highest. In particular previous studies have demonstrated that patients with markers of impaired autonomic function suffer from increased mortality[1] suggesting that these patients are at especially high risk for sudden cardiac death.,/wiki/DINAMIT,,
In patients with a history of coronary artery bypass grafting undergoing percutaneous coronary intervention (PCI) of a saphenous vein graft do bare-metal stents (BMS) result in a higher rate of target-vessel failure compared to drug-eluting stents (DES)?,Multiple high quality randomized controlled trials (e.g. NORSTENT) have established drug-eluting stents (DES) as the standard of care for percutaneous coronary intervention (PCI) in native coronary arteries. When compared to bare-metal stents (BMS) use of DES has been shown to result in lower rates of in-stent restenosis (ISR) as well as possibly stent thrombosis leading to fewer target-vessel failures over the long-term. Although the superiority of DES over BMS has been well-established for PCI involving native coronaries the comparative efficacy of DES over BMS has not been well-studied in PCI involving saphenous vein grafts an increasingly common procedure. Furthermore vein grafts typically allow for placement of stents with larger diameter which generally leads to lower ISR rates which may obviate the benefit of DES over BMS. Thus a randomized trial was needed to compare the performance of BMS versus DES in patients undergoing PCI of vein grafts.,/wiki/DIVA,,
Among patients with a first unprovoked VTE episode who have completed 3 months of anticoagulation does a D-dimer based anticoagulation cessation strategy result in favorable outcomes?,The D-dimer assay is an important component of the diagnostic workup of a patient with suspected VTE and it can also help estimate the risk of recurrent VTE in patients who have completed anticoagulation for unprovoked VTE. ,/wiki/DODS,,
In patients with end-stage heart or lung disease requiring transplantation who are negative for hepatitis C virus (HCV) does transplantation of an HCV positive organ with immediate anti-viral therapy result in similar allograft function and successful viral suppression compared to transplantation of HCV negative organs?,Mortality for patients with end-stage heart or lung disease awaiting transplantation remains a major public health problem. Many organs that are otherwise medically suitable for transplantation have traditionally been declined due to the presence of hepatitis C virus (HCV) in the donors. In the past transplantation of these HCV+ organs into HCV naive recipients has led to acquired chronic HCV infection in the vast majority of recipients.[1] Downstream effects of HCV acquisition have included increased mortality from liver disease and the development of accelerated graft damage due to cardiac allograft vasculopathy.[2],/wiki/DONATE-HCV,,
Among patients with acute decompensated HF how do continuous vs. intermittent and low- vs. high-dose IV loop diuretics compare in symptom improvement and impairment of renal function at 72 hours?,'Loop diuretics are central to the treatment of acute decompensated HF. Compared to intermittent boluses continuous infusions of loop diuretics achieve more constant plasma levels of diuretic which theoretically may protect against the adverse hemodynamic and renal effects of intermittent diuretic boluses. As a result continuous infusions became en vogue although no randomized trial had demonstrated the benefit of continuous infusions over intermittent boluses of diuretic.[1] The ideal dosage of loop diuretic also remains in question with some providers using double or triple a patient''s home dose and others preferring to start with the patient''s home dose and gradually uptitrating to achieve euvolemia.',/wiki/DOSE,,
In patients at high risk of developing type 2 diabetes do intensive lifestyle changes or metformin treatment prevent or delay the onset of diabetes?,Adults with prediabetes have a high incidence of developing overt T2DM. In the end of the 20th century there was little evidence to guide prevention of progression to T2DM among prediabetics. Given the high incidence of obesity and low levels of exercise among prediabetics and diabetics intensive lifestyle interventions promoting weight loss and exercise might be effective. Also metformin is an oral diabetes medication associated with weight loss and reduced gluconeogenesis. Whether intensive lifestyle it may prevent progression of prediabetes to T2DM was also unknown. ,/wiki/DPP,,
Among children with common warts does occlusive duct tape therapy result in improved wart resolution when compared to cryotherapy?,'The common wart occurs in up to 10% of children and most are treated with topical agents or cryotherapy. Occlusive therapy with duct tape has been used for years by parents for the treatment of their children''s warts with anecdotal success published as early as 1978.[1] Duct tape therapy is inexpensive causes little pain reduces the need of frequent follow-up and provides parents with a mechanism of treating their children at home. Nevertheless many clinicians have regarded its effectiveness as an old wives'' tale as no randomized trial had demonstrated its efficacy.',/wiki/Duct_Tape_for_Treatment_of_the_Common_Wart,,
Among patients with recurrent C. difficile-associated diarrhea how does fecal transplant compare with vancomycin in terms of relapse?,Prior use of antibiotics disturbs the normal gut microbiome and increases the risk of C. difficile-associated diarrhea (CDAD).  Current treatment for recurrent CDAD involves additional courses of antibiotics including metronidazole vancomycin (Vancomycin vs. Metronidazole in C. difficile Diarrhea; 2007) rifaximin and fidaxomicin (Fidaxomicin vs. Vancomycin for C. difficile Diarrhea; 2011). Together these treatments have a failure rate of up to 25% on first recurrence which increases with subsequent recurrences. ,/wiki/Duodenal_Infusion_of_Donor_Feces_for_Recurrent_Clostridium_difficile,,
In patients with metastatic NSCLC how does early introduction of palliative care affect quality of life?,Patients with stage I II or III NSCLC are generally treated with curative intent using surgery chemotherapy and/or radiation therapy. In contrast patients with stage IV metastatic NSCLC may benefit from palliative systemic therapy. However early integration of palliative care into standard oncologic care is not the standard of care. ,/wiki/Early_Palliative_Care,,
Among selected high-risk patients with cirrhosis hospitalized for acute variceal bleeding does the early use of transjugular intrahepatic portosystemic shunt (TIPS) reduce the treatment failure and mortality rate?,Patients with hepatic cirrhosis and portal hypertension develop portosystemic collaterals including gastroesophageal varices rupture of which results in variceal hemorrhage. Meta-analyses have demonstrated that rapid pharmacologic and endoscopic management of variceal bleeding leads to early resolution of hemorrhage and improves hemodynamic parameters but does not necessarily improve survival.[1] Failure rates remain high and mortality may be as high as 20%.[2] In patients with refractory variceal hemorrhage transjugular intrahepatic portosystemic shunt (TIPS) placement may reduce the portosystemic pressure gradient and reduce bleeding from active varices. One study demonstrated the efficacy of early TIPS in patients with variceal hemorrhage refractory to pharmacologic and endoscopic interventions[3] but this study was limited by less aggressive therapy administered to the control group and by the use of older (non-contemporary) uncovered TIPS stents. Additionally some studies suggest that early TIPS reduces rates of variceal bleeding without improving survival. Therefore a properly controlled randomized trial of early TIPS was required to more conclusively demonstrate its efficacy.,/wiki/Early_TIPS,,
Among patients with left-sided native-valve endocarditis at high risk of embolic events does early surgery reduce mortality and embolic events as compared to conventional treatment?,Antibiotics are the mainstay of therapy in infective endocarditis (IE) with surgery historically reserved for those with valvular regurgitation and heart failure or refractory embolic events. To better understand the optimal timing of surgical intervention in this patient population these investigators sought to study the role of early surgery as a means of preventing mortality and embolic events in patients with native-valve left-sided endocarditis (NVE).,/wiki/EASE,,
In patients with recently diagnosed atrial fibrillation can early rhythm control reduce the risk of CV mortality stroke HF hospitalization or ACS hospitalization?,The 2002 AFFIRM trial randomized seniors with AF to rate vs. rhythm control strategies. It found a trend towards increased mortality with a rhythm control strategy (P=0.08). Mortality was highest among subgroups that were older had a history of CAD or without prior HF. Whether there was a benefit from early earlier rhythm control in AF was unknown. Additionally the rhythm control arm was allowed to stop anticoagulation if the patient remained in normal sinus rhythm for at least 4 consecutive weeks but rates of ischemic stroke were similar between both groups. Additionally rhythm control agents were predominantly sotalol or amiodarone which have high rates of adverse effects compared to newer agents such as dronedarone.,/wiki/EAST-AFNET_4,,
In patients with acute ischemic stroke does the administration of alteplase a tissue plasminogen activator (tPA) reduce disability at 3 months? ,The 2008 European Cooperative Acute Stroke Study III (ECASS III) demonstrated a benefit of intravenous alteplase beyond the conventional 3-hour time window established in the NINDS trial (1995) effectively extending the window for alteplase to 4.5 hours.  The primary outcome was disability at 3 months and ECASS III found a greater proportion of patients randomized to alteplase with complete or near complete neurologic recovery (NNT 14).  Despite a 10-fold increase in symptomatic intracerebral hemorrhage there was no difference in mortality between alteplase and placebo groups.  Of note patients with severe signs of stroke were excluded and the placebo group had higher rates of prior stroke which may have accounted for the worsened outcomes.,/wiki/ECASS_III,,
In patients with symptomatic carotid artery stenosis does CEA reduce the risk of major stroke or death?,The uncertain benefit of CEA for the secondary prevention of carotid artery territory stroke led to several major studies being undertaken in the 1980s and 1990s. The European Surgical Carotid Trial (ESCT) and North American Symptomatic Carotid Artery Trial (NASCET) were among the largest to study CEA in patients with symptomatic carotid artery stenosis.,/wiki/ECST,,
In patients with T1DM what is the benefit of intensive therapy in reducing the long-term incidence of a CV event?,The earlier Diabetes Control and Complications Trial (DCCT) investigated CV outcomes among T1DM patients but failed to demonstrate a reduction in CV events likely because the study population was relatively young at the time. The follow-up Epidemiology of Diabetes Interventions and Complications (EDIC) cohort study did demonstrate such benefits.,/wiki/EDIC,,
In patients with VTE who have completed 6-12 months of anticoagulation does long-term rivaroxaban treatment reduce the rate of recurrent VTE compared to aspirin?,The majority of patients with provoked VTE can be treated with a limited course of anticoagulation therapy (e.g. 3-6 months) followed by therapy discontinuation. In patients without reversible risk factors for VTE the risk of recurrent VTE remains elevated after 6-12 months of therapeutic anticoagulation and extended-duration anticoagulation is often warranted. The bleeding risk associated with extended-duration anticoagulation have led investigators to evaluate intermediate- or low-dose antithrombotic agents in this setting. This includes the ASPIRE and WARFASA trials of aspirin and the AMPLIFY-EXT trial of apixaban. ,/wiki/EINSTEIN_CHOICE,,
Among patients with acute PE is rivaroxaban noninferior to warfarin in preventing recurrent VTE or bleeding?,The oral factor Xa inhibitor rivaroxaban demonstrated effectiveness in the prevention of VTE following orthopedic surgery in RECORD1 (2009)[1] in DVT treatment in EINSTEIN-DVT (2010)[2] and in AF in ROCKET AF (2011). EINSTEIN-PE was an extension of the EINSTEIN program and was the first large randomized study of rivaroxaban in the treatment of acute PE.,/wiki/EINSTEIN-PE,,
